date_opened,conditionId,outcome,title,entry_price,backers_at_entry,size_flat,size_kelly_eur,status,date_closed,exit_price,exit_type,ret,mark_price,last_update
2026-07-05,0x8054fef9f1b2bbf57dc4fc438b3744c96c0b4d59d128f660cc467fff34a7c3f0,Aryna Sabalenka,Wimbledon WTA: Aryna Sabalenka vs Naomi Osaka,0.695,4,1,158.73,CLOSED,2026-07-06,0.0,resolved_loss,-1.0,0.0,2026-07-06
2026-07-05,0xa1cb668f44322a8975bdd12276b7c43bd7705b47298cc6d869858e62ead1435c,Chicago White Sox,Chicago White Sox vs. Cleveland Guardians,0.455,2,1,90.09,CLOSED,2026-07-12,1.0,resolved_win,1.1978,1.0,2026-07-22
2026-07-05,0x84f698ac4e21f27dfa51803083f5c115933c13611259e2968e4b2ba06f854912,NC Dinos,KBO: NC Dinos vs. Kia Tigers,0.515,2,1,101.01,CLOSED,2026-07-23,0.1955,sharps_left,-0.6204,0.2055,2026-07-23
2026-07-05,0x7976b8dbacf9077eb1453a62bcefd6ab2df199acd28aad276ff0d920d6992892,Yes,Will Spain win the 2026 FIFA World Cup?,0.1335,11,1,57.05,CLOSED,2026-07-20,1.0,resolved_win,6.4906,1.0,2026-07-22
2026-07-05,0x2745c38ff0617cb345c1d2df19b4f74ea777508e07411e88eeb6ab3affcda2a2,No,"Will Bitcoin dip to $35,000 by December 31, 2026?",0.885,2,1,250.0,CLOSED,2026-07-27,0.875,sharps_left,-0.0113,0.885,2026-07-27
2026-07-05,0xa01d48a973e40770719dab42faf1aeae5da4376d9eca46e77265c7551d1be0f7,Yes,Will Delcy Rodríguez be the leader of Venezuela end of 2026?,0.145,4,1,57.8,CLOSED,2026-07-28,0.085,sharps_left,-0.4138,0.095,2026-07-28
2026-07-05,0x5e082f0b57f47a29044aa35b4c5658393122e659d5feae521c06b57cdd7f905c,Yes,Will 1 Fed rate cut happen in 2026?,0.155,2,1,58.48,CLOSED,2026-07-28,0.085,sharps_left,-0.4516,0.095,2026-07-28
2026-07-05,0xd1796c09d0d6f876f8580086ae9808ec991784e3a74b25a1830a25de71a78c96,No,Netanyahu out by end of 2026?,0.55,3,1,108.7,CLOSED,2026-07-28,0.615,sharps_left,0.1182,0.625,2026-07-28
2026-07-05,0x6522024c060166830e53a48b0db1cab9296601a8539ab005124db5e4bf50a303,No,Anthropic IPO before 2027?,0.265,2,1,67.11,CLOSED,2026-07-28,0.28,sharps_left,0.0566,0.29,2026-07-28
2026-07-05,0x4167e22670f31e5f93d132f78108f3fae809bd15cadf78983eff096845ed1415,Yes,Ukraine signs peace deal with Russia before 2027?,0.225,2,1,63.69,CLOSED,2026-07-28,0.205,sharps_left,-0.0889,0.215,2026-07-28
2026-07-05,0x533aab0d99851ea6dccf14861b8b7bb5026a40a15718769f8cc519d93380b391,Yes,"U.S. agrees to a new trade deal with ""India"" before 2027?",0.245,2,1,65.36,CLOSED,2026-07-28,0.205,sharps_left,-0.1633,0.215,2026-07-28
2026-07-05,0xff68b32e6543ae8b44ccb520604b6ea224a1bac071a186fb65f6f40949a758df,Yes, Iran agrees to end enrichment of uranium by December 31?,0.285,2,1,68.97,CLOSED,2026-07-28,0.24,sharps_left,-0.1579,0.25,2026-07-28
2026-07-05,0x32e869cb0f7316273417ec79aa94c8a139f8c390ebff8a24150a18753d257f8e,Yes,Will GameStop acquire eBay?,0.135,2,1,57.14,CLOSED,2026-07-28,0.125,sharps_left,-0.0741,0.135,2026-07-28
2026-07-05,0x4dc5c13eb9646b10da7d5f079f77ef2480ec5466861ce1cfbc910fabed3d7d0d,Yes,Kash Patel out by December 31?,0.43,3,1,86.21,CLOSED,2026-07-28,0.305,sharps_left,-0.2907,0.315,2026-07-28
2026-07-05,0xca0329cd4392d91e39df0702949229573d2415ae4a37b0103d0c6e9d03b8dd44,No,Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,0.145,2,1,57.8,CLOSED,2026-07-28,0.22,sharps_left,0.5172,0.23,2026-07-28
2026-07-05,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,Yes,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,0.233,2,1,64.35,CLOSED,2026-07-28,0.2285,sharps_left,-0.0193,0.2385,2026-07-28
2026-07-05,0xb8e6d129a06d0ccb21d7b32eb529ea455eddba3cf29bfa097112202cbdf5bf21,Yes,Strait of Hormuz traffic returns to normal by July 31?,0.165,2,1,59.17,CLOSED,2026-07-14,0.0,resolved_loss,-1.0,0.0195,2026-07-14
2026-07-05,0x23667427b34ca1c7144d50540beba9e7ffb608443a84252c194bb8b40919a0cb,No,"US-Iran Final Nuclear Deal by September 30, 2026?",0.715,2,1,169.49,CLOSED,2026-07-08,0.75,sharps_left,0.049,0.76,2026-07-08
2026-07-05,0xc5eae79d1ffe716572353962eb926b1e3964c500a4880a7a94f58408218ee76b,Yes,"2026 Balance of Power: R Senate, R House",0.155,3,1,58.48,CLOSED,2026-09-01,0.105,sharps_left,-0.3226,0.115,2026-09-01
2026-07-05,0x024b68f77bfc019341ee3db8f57c103334e4b9430bba4746d8c94aafd8b36fee,No,"Will Bitcoin dip to $45,000 by December 31, 2026?",0.645,2,1,136.99,CLOSED,2026-07-18,0.775,sharps_left,0.2016,0.785,2026-07-18
2026-07-05,0x752fa61c93f16c4b15e85b0bd438d9c684176b0ea7b319a84c8aca34616e8a8c,No,"Will Bitcoin dip to $55,000 by December 31, 2026?",0.305,2,1,70.92,CLOSED,2026-07-14,0.465,sharps_left,0.5246,0.475,2026-07-14
2026-07-05,0xce3c54c3e773e8b3bf73e4c12af93205b21195d03b9c386e22f274b9acfc2c56,No,"Will Bitcoin dip to $50,000 by December 31, 2026?",0.505,2,1,99.01,CLOSED,2026-07-16,0.665,sharps_left,0.3168,0.675,2026-07-16
2026-07-05,0xdaa4866bae18be58c5a79d2aeeffd035ec78f1bb49dbd88f72993997778a990f,Yes,"Will Bitcoin reach $100,000 by December 31, 2026?",0.115,2,1,55.87,CLOSED,2026-07-28,0.085,sharps_left,-0.2609,0.095,2026-07-28
2026-07-05,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,Yes,Will the Democratic Party control the House after the 2026 Midterm elections?,0.845,3,1,250.0,OPEN,,,,,0.895,2026-09-04
2026-07-05,0x4567b275e6b667a6217f5cb4f06a797d3a1eaf1d0281fb5bc8c75e2046ae7e57,Yes,Will Gavin Newsom win the 2028 US Presidential Election?,0.1315,4,1,56.92,OPEN,,,,,0.0855,2026-09-04
2026-07-05,0xccd02457c87dc4d3d5a1e6d5ec71bdd21f3ef922b61e326f270d6ff0382a7eec,Sinner,Set Handicap: Sinner (-1.5) vs Mochizuki (+1.5),0.91,2,1,250.0,CLOSED,2026-07-11,1.0,resolved_win,0.0989,1.0,2026-07-22
2026-07-05,0x16c63b7cc37f012b9f59ee164ec03877914c701d06d48291ae8d6fc08a088b0d,Yes,"2026 Balance of Power: D Senate, D House",0.435,3,1,86.96,OPEN,,,,,0.495,2026-09-04
2026-07-05,0x502a94e5c525766d5ee7f16c6568131ba1b2cbadb69c703af05a6ef00336ed64,Yes,Will United Russia (ER) gain the most seats in the next Russian parliamentary election?,0.565,3,1,112.36,OPEN,,,,,0.695,2026-09-04
2026-07-05,0x5328ccb90355de61509485631db102862ec06146c9fd10d101fb9607c4344e03,Yes,Will there be between 11 and 13 earthquakes of magnitude 7.0 or higher worldwide in 2026?,0.23,2,1,64.1,CLOSED,2026-07-09,0.175,sharps_left,-0.2391,0.185,2026-07-09
2026-07-05,0x2bf419aa66753cd95324dfe102ad2d0d5bdb0205cf52735a389134b78f2b2139,Yes,Will England reach the 2026 FIFA World Cup final?,0.185,2,1,60.61,CLOSED,2026-07-14,0.535,sharps_left,1.8919,0.545,2026-07-14
2026-07-05,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,Yes,Will the Republican Party control the House after the 2026 Midterm elections?,0.175,2,1,59.88,CLOSED,2026-09-02,0.105,sharps_left,-0.4,0.115,2026-09-02
2026-07-05,0x9198139a69951b7eb4c13e226533c4e4f34e634c019691c6bc326d77d3b2d348,Washington Nationals,Pittsburgh Pirates vs. Washington Nationals,0.585,2,1,117.65,CLOSED,2026-07-06,0.0,resolved_loss,-1.0,0.0,2026-07-06
2026-07-05,0xcf25ccc8360f3952139fb5e3f14cb9bb0636cb53d0e30e947321ceccab7e9780,No,"Will Ethereum dip to $1,500 by December 31, 2026?",0.3315,2,1,73.69,CLOSED,2026-08-02,0.485,sharps_left,0.463,0.495,2026-08-02
2026-07-05,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,No,Fed rate hike in 2026?,0.535,2,1,105.26,CLOSED,2026-08-07,0.435,sharps_left,-0.1869,0.445,2026-08-07
2026-07-06,0x9840fe7e15ad16c1f918c0b923f6e5eb770c1fa9c2ce2b37d362bfe8d15190f0,Ashlyn Krueger,Wimbledon WTA: Ashlyn Krueger vs Marta Kostyuk,0.315,5,1,71.94,CLOSED,2026-07-07,0.0,resolved_loss,-1.0,0.0,2026-07-07
2026-07-06,0xc09537a0976d0927901432859fbb6dfe5d23d1d69bb4e8355253e7b142a44e83,No,Will France win on 2026-07-09?,0.395,2,1,81.3,CLOSED,2026-07-07,0.375,sharps_left,-0.0506,0.385,2026-07-07
